image_name,region,name,tag,verdict,ts
brooklyn__27__crop_002,brooklyn,SHORTY CANDY,shop=supermarket,ok,2026-08-10 05:18:11
brooklyn__29__crop_001,brooklyn,CROWN DISCOUNT STORE 99,shop=supermarket,ok,2026-08-10 05:18:32
brooklyn__30__crop_002,brooklyn,SHORT CANDY,shop=supermarket,ok,2026-08-10 05:18:42
brooklyn__30__crop_003,brooklyn,812 CORP,shop=supermarket,ok,2026-08-10 05:18:52
brooklyn__38__crop_002,brooklyn,PHARMACY,amenity=pharmacy,ok,2026-08-10 05:18:59
brooklyn__38__crop_003,brooklyn,95 South,amenity=restaurant,ok,2026-08-10 05:19:07
brooklyn__38__crop_004,brooklyn,PHARMACY,amenity=pharmacy,ok,2026-08-10 05:19:10
brooklyn__3__crop_001,brooklyn,LAUNDROMAT,amenity=laundry,ok,2026-08-10 05:19:46
brooklyn__40__crop_001,brooklyn,SHEER MADNESS,shop=hairdresser,ok,2026-08-10 05:19:51
brooklyn__45__crop_002,brooklyn,PROPERTY FOR SALE,,non,2026-08-10 05:19:55
brooklyn__46__crop_001,brooklyn,NOOKLYN,office=estate_agent,ok,2026-08-10 05:20:32
brooklyn__47__crop_001,brooklyn,PROPERTY FOR SALE,,non,2026-08-10 05:20:34
brooklyn__47__crop_002,brooklyn,MISC,amenity=restaurant,ok,2026-08-10 05:20:44
brooklyn__52__crop_001,brooklyn,StateFarm,office=company,ok,2026-08-10 05:20:58
brooklyn__54__crop_002,brooklyn,CAROUSEL BEVERAGES,amenity=bar,ok,2026-08-10 05:21:11
brooklyn__57__crop_001,brooklyn,CAROUSEL BEVERAGES,amenity=bar,ok,2026-08-10 05:21:14
brooklyn__57__crop_003,brooklyn,Powerplay,leisure=fitness_centre,ok,2026-08-10 05:21:41
brooklyn__58__crop_001,brooklyn,Powerplay,leisure=fitness_centre,ok,2026-08-10 05:21:44
brooklyn__60__crop_001,brooklyn,Powerplay,leisure=fitness_centre,ok,2026-08-10 05:21:47
brooklyn__61__crop_001,brooklyn,DONATO,office=company,ok,2026-08-10 05:23:00
brooklyn__65__crop_001,brooklyn,HARDEE,amenity=restaurant,ok,2026-08-10 05:23:17
brooklyn__65__crop_001,brooklyn,HARDEE,amenity=fast_food,ok,2026-08-10 05:23:20
brooklyn__68__crop_002,brooklyn,Franklin Eyecare,amenity=clinic,ok,2026-08-10 05:23:39
brooklyn__70__crop_001,brooklyn,JUICY KING CRAB,amenity=fast_food,ok,2026-08-10 05:24:02
brooklyn__70__crop_002,brooklyn,JUICY KING CRAB,amenity=fast_food,ok,2026-08-10 05:24:05
brooklyn__73__crop_001,brooklyn,POPEYES,amenity=fast_food,ok,2026-08-10 05:24:07
brooklyn__77__crop_002,brooklyn,Mini Market,shop=supermarket,ok,2026-08-10 05:24:10
brooklyn__78__crop_001,brooklyn,MNS 99 CENTS UP INC,shop=supermarket,ok,2026-08-10 05:24:29
brooklyn__7__crop_001,brooklyn,SPACE AVAILABLE,,non,2026-08-10 05:24:47
brooklyn__80__crop_001,brooklyn,FULTON,amenity=bar,ok,2026-08-10 05:25:17
brooklyn__83__crop_001,brooklyn,FULTON,amenity=bar,ok,2026-08-10 05:25:20
brooklyn__83__crop_002,brooklyn,A GUSTO,amenity=restaurant,ok,2026-08-10 05:25:30
brooklyn__85__crop_002,brooklyn,LAUNDROMAT,amenity=laundry,ok,2026-08-10 05:25:44
brooklyn__87__crop_001,brooklyn,DOG DAYCARE,amenity=animal_care,ok,2026-08-10 05:26:12
brooklyn__88__crop_001,brooklyn,Blooming Brows,shop=beauty,ok,2026-08-10 05:26:16
brooklyn__94__crop_001,brooklyn,RICKY S,amenity=restaurant,ok,2026-08-10 05:26:20
brooklyn__99__crop_002,brooklyn,eyes nyc,shop=optical_shop,ok,2026-08-10 05:27:13
brooklyn__100__crop_002,brooklyn,HIGH UNIVERSE,,name_only,2026-08-10 05:27:38
brooklyn__10__crop_001,brooklyn,MOD,,non,2026-08-10 05:27:56
brooklyn__10__crop_002,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ok,2026-08-10 05:28:09
brooklyn__12__crop_001,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ok,2026-08-10 05:28:14
brooklyn__12__crop_002,brooklyn,AVAILABLE,,non,2026-08-10 05:28:16
brooklyn__17__crop_003,brooklyn,total wireless,shop=mobile_phone,ok,2026-08-10 05:28:40
brooklyn__23__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,ok,2026-08-10 05:28:48
brooklyn__25__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,ok,2026-08-10 05:28:54
brooklyn__2__crop_002,brooklyn,VAPE N CLOUD,shop=smoke_shop,ok,2026-08-10 05:29:17
brooklyn__32__crop_002,brooklyn,EASTERN FRANKLIN WINES LIQUORS,amenity=bar,ok,2026-08-10 05:29:27
brooklyn__37__crop_001,brooklyn,E MARTIN SALES RENTALS,office=estate_agent,ok,2026-08-10 05:30:48
brooklyn__38__crop_001,brooklyn,95 South,amenity=restaurant,ok,2026-08-10 05:30:56
brooklyn__44__crop_001,brooklyn,SJ MARKET,shop=supermarket,ok,2026-08-10 05:30:59
brooklyn__49__crop_001,brooklyn,enterprise,amenity=rent_car,ok,2026-08-10 05:31:23
brooklyn__49__crop_001,brooklyn,enterprise,amenity=rent_car,ok,2026-08-10 05:31:28
brooklyn__49__crop_002,brooklyn,enterprise,amenity=rent_car,ok,2026-08-10 05:31:29
brooklyn__51__crop_001,brooklyn,enterprise,amenity=rent_car,ok,2026-08-10 05:31:33
brooklyn__54__crop_001,brooklyn,R FERRARO COLLISION,shop=car_repair,ok,2026-08-10 05:31:53
brooklyn__5__crop_002,brooklyn,Nostrand Gold Dealers,shop=jewerly_shop,ok,2026-08-10 05:32:21
brooklyn__60__crop_004,brooklyn,RISE DEVELOPMENT,office=estate_agent,ok,2026-08-10 05:32:36
brooklyn__61__crop_002,brooklyn,DONATO INC,office=company,ok,2026-08-10 05:32:42
brooklyn__62__crop_001,brooklyn,DRUG STORE,amenity=pharmacy,ok,2026-08-10 05:32:59
brooklyn__66__crop_002,brooklyn,MOZEB,shop=supermarket,ok,2026-08-10 05:33:23
brooklyn__69__crop_002,brooklyn,SMOK SHOP,shop=smoke_shop,ok,2026-08-10 05:33:42
brooklyn__93__crop_001,brooklyn,BRAIDING STYLING,shop=hairdresser,ok,2026-08-10 05:33:47
brooklyn__13__crop_001,brooklyn,FOOD WINE GROCER,shop=supermarket,ok,2026-08-10 05:34:24
brooklyn__15__crop_002,brooklyn,FOOD WINE GROCER,shop=supermarket,ok,2026-08-10 05:34:28
brooklyn__16__crop_001,brooklyn,FLY WING E BIKE,shop=car_repair,ok,2026-08-10 05:34:31
brooklyn__18__crop_003,brooklyn,FLY WING E BIKE,shop=car_repair,ok,2026-08-10 05:34:33
brooklyn__1__crop_001,brooklyn,OFF THE GRILL,amenity=restaurant,ok,2026-08-10 05:34:35
brooklyn__21__crop_002,brooklyn,4 BROTHERS FOOD CORP,amenity=restaurant,ok,2026-08-10 05:34:39
brooklyn__2__crop_003,brooklyn,SPRINT REALTY INC,office=estate_agent,ok,2026-08-10 05:34:43
brooklyn__31__crop_001,brooklyn,DELI GRILL,shop=convenience,ok,2026-08-10 05:35:17
brooklyn__32__crop_001,brooklyn,SALS RESTAURANT,amenity=restaurant,ok,2026-08-10 05:35:20
brooklyn__33__crop_001,brooklyn,Capital One Bank,amenity=bank,ok,2026-08-10 05:35:21
brooklyn__34__crop_001,brooklyn,Royal Yard Food,amenity=restaurant,ok,2026-08-10 05:35:24
brooklyn__34__crop_002,brooklyn,800 Candy Juice Bar,amenity=bar,ok,2026-08-10 05:35:29
brooklyn__35__crop_001,brooklyn,STARBUCKS COFFEE,amenity=cafe,ok,2026-08-10 05:35:31
brooklyn__36__crop_002,brooklyn,Nail Salon,shop=hairdresser,ok,2026-08-10 05:35:35
brooklyn__37__crop_002,brooklyn,GRILL DELI,shop=convenience,ok,2026-08-10 05:35:38
brooklyn__42__crop_001,brooklyn,Bagel Pub,amenity=bar,ok,2026-08-10 05:35:40
brooklyn__48__crop_001,brooklyn,RESTAURANT,amenity=restaurant,ok,2026-08-10 05:35:42
brooklyn__48__crop_002,brooklyn,DELI GROCERY,shop=convenience,ok,2026-08-10 05:35:46
brooklyn__55__crop_001,brooklyn,MIGHTY QUINNS,amenity=restaurant,ok,2026-08-10 05:36:00
brooklyn__59__crop_001,brooklyn,NEW MILLENNIUM MOTORS INC,shop=car_repair,ok,2026-08-10 05:36:03
brooklyn__63__crop_001,brooklyn,FOOD CENTER,amenity=restaurant,ok,2026-08-10 05:36:05
brooklyn__64__crop_001,brooklyn,BEAUTY SALON,shop=hairdresser,ok,2026-08-10 05:36:08
brooklyn__68__crop_001,brooklyn,UNISEX SALON,shop=hairdresser,ok,2026-08-10 05:36:10
brooklyn__71__crop_001,brooklyn,NAILS,shop=beauty,ok,2026-08-10 05:36:15
brooklyn__73__crop_002,brooklyn,SuperFoodtown,shop=supermarket,ok,2026-08-10 05:36:29
brooklyn__75__crop_002,brooklyn,Modern Nails,shop=beauty,ok,2026-08-10 05:36:32
brooklyn__76__crop_001,brooklyn,Modern Nails,shop=beauty,ok,2026-08-10 05:36:34
brooklyn__77__crop_001,brooklyn,Modern Nails,shop=beauty,ok,2026-08-10 05:36:35
brooklyn__79__crop_001,brooklyn,HAIR STUDIO,shop=hairdresser,ok,2026-08-10 05:36:36
brooklyn__80__crop_003,brooklyn,HAIR STUDIO,shop=hairdresser,ok,2026-08-10 05:36:38
brooklyn__81__crop_001,brooklyn,BEAUTY SUPPLY,shop=beauty,ok,2026-08-10 05:36:41
brooklyn__86__crop_002,brooklyn,Dominos,amenity=fast_food,ok,2026-08-10 05:36:43
brooklyn__8__crop_001,brooklyn,NAILS,shop=beauty,ok,2026-08-10 05:36:45
brooklyn__90__crop_001,brooklyn,AR POSTAL MULTISERVICES,amenity=post_office,ok,2026-08-10 05:36:54
brooklyn__91__crop_001,brooklyn,SOGHO HAIR Salon BRAIDING,shop=hairdresser,ok,2026-08-10 05:36:56
brooklyn__92__crop_002,brooklyn,NAIL,shop=beauty,ok,2026-08-10 05:36:58
brooklyn__94__crop_003,brooklyn,HARDWARE,shop=hardware,ok,2026-08-10 05:37:13
brooklyn__95__crop_002,brooklyn,HARDWARE,shop=hardware,ok,2026-08-10 05:37:14
brooklyn__96__crop_001,brooklyn,Rockaway GOURMET DELI GRILL,shop=convenience,ok,2026-08-10 05:37:20
brooklyn__97__crop_001,brooklyn,BEAUTY SUPPLY INC,shop=beauty,ok,2026-08-10 05:37:47
brooklyn__97__crop_002,brooklyn,NAILS Inc,shop=beauty,ok,2026-08-10 05:37:48
brooklyn__97__crop_003,brooklyn,Rockaway GOURMET DELI GRILL,shop=convenience,ok,2026-08-10 05:37:52
brooklyn__98__crop_002,brooklyn,BEAUTY SUPPLY INC,shop=beauty,ok,2026-08-10 05:37:53
brooklyn__98__crop_003,brooklyn,NAILS Inc,shop=beauty,ok,2026-08-10 05:37:55
brooklyn__100__crop_001,brooklyn,BARGAINLAND,shop=supermarket,ok,2026-08-10 05:38:13
brooklyn__11__crop_001,brooklyn,LIT TAX SOLUTIONS,,name_only,2026-08-10 05:38:31
brooklyn__13__crop_002,brooklyn,9ROUND,leisure=fitness_centre,ok,2026-08-10 05:38:39
brooklyn__14__crop_002,brooklyn,Hello One Nail Spa,shop=beauty,ok,2026-08-10 05:38:41
brooklyn__15__crop_001,brooklyn,30 MIN KICKBOX FITNESS,leisure=fitness_centre,ok,2026-08-10 05:38:45
brooklyn__17__crop_001,brooklyn,Hello One Nail Spa,shop=beauty,ok,2026-08-10 05:38:47
brooklyn__18__crop_001,brooklyn,Dry Cleaning Service,shop=laundry,ok,2026-08-10 05:38:49
brooklyn__18__crop_002,brooklyn,ABC BARBER SHOP,amenity=bar,ok,2026-08-10 05:38:55
brooklyn__18__crop_002,brooklyn,ABC BARBER SHOP,shop=hairdresser,ok,2026-08-10 05:39:00
brooklyn__28__crop_001,brooklyn,GALAXY BEAUTY SHOP,shop=beauty,ok,2026-08-10 05:39:07
brooklyn__2__crop_001,brooklyn,DUTCH CLEANERS,shop=laundry,ok,2026-08-10 05:39:18
brooklyn__32__crop_003,brooklyn,DUNKIN,amenity=cafe,ok,2026-08-10 05:39:25
brooklyn__32__crop_003,brooklyn,DUNKIN,shop=bakery,ok,2026-08-10 05:39:31
brooklyn__36__crop_001,brooklyn,EL BARRIO BURRITOS,amenity=restaurant,ok,2026-08-10 05:39:37
brooklyn__41__crop_001,brooklyn,FRANKLIN EXPRESS,shop=laundry,ok,2026-08-10 05:39:42
brooklyn__45__crop_001,brooklyn,HAPPY WOK,amenity=restaurant,ok,2026-08-10 05:39:49
brooklyn__4__crop_001,brooklyn,SuperMarket,shop=supermarket,ok,2026-08-10 05:40:21
brooklyn__50__crop_001,brooklyn,THE NEW ATLANTIC Restaurant,amenity=restaurant,ok,2026-08-10 05:40:34
brooklyn__5__crop_001,brooklyn,ROYAL BAKERY ROTI,shop=bakery,ok,2026-08-10 05:40:45
brooklyn__63__crop_002,brooklyn,GRANDMA LAUNDRY CORNER INC,shop=laundry,ok,2026-08-10 05:40:52
brooklyn__66__crop_001,brooklyn,DELI,shop=convenience,ok,2026-08-10 05:40:56
brooklyn__69__crop_001,brooklyn,AMY UNIQUE NAILS INC,shop=beauty,ok,2026-08-10 05:41:09
brooklyn__69__crop_003,brooklyn,Lemon Grass,amenity=restaurant,ok,2026-08-10 05:41:25
brooklyn__75__crop_001,brooklyn,NEXT LEVEL Fashions,shop=clothes,ok,2026-08-10 05:41:30
brooklyn__80__crop_002,brooklyn,Soldier Restaurant Inc,amenity=restaurant,ok,2026-08-10 05:41:35
brooklyn__89__crop_001,brooklyn,Dreamer Nails,shop=beauty,ok,2026-08-10 05:41:39
brooklyn__94__crop_002,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,ok,2026-08-10 05:41:42
brooklyn__95__crop_001,brooklyn,NEW PEOPLES RESTAURANT,amenity=restaurant,ok,2026-08-10 05:41:43
brooklyn__98__crop_001,brooklyn,BARGAINLAND,shop=supermarket,ok,2026-08-10 05:41:54
brooklyn__9__crop_001,brooklyn,JOHN GARDEN,amenity=restaurant,ok,2026-08-10 05:42:04
