image_name,region,name,tag,verdict,eval_name,eval_tag
suwon__55__crop_001,suwon,엽기떡볶이,amenity=fast_food,ok,1,1
suwon__57__crop_001,suwon,약,amenity=pharmacy,ok,1,1
suwon__58__crop_001,suwon,BYC,shop=clothes,ok,1,1
suwon__58__crop_002,suwon,한솥,amenity=restaurant,ok,1,1
suwon__59__crop_001,suwon,전주콩나루,amenity=restaurant,ok,1,1
suwon__59__crop_002,suwon,황금의 집,shop=jewelry_store,ok,1,1
suwon__59__crop_003,suwon,남성컷,shop=hairdresser,ok,1,1
suwon__5__crop_001,suwon,진미치킨,amenity=fast_food,ok,1,1
suwon__5__crop_002,suwon,역전 진미 치킨,amenity=fast_food,ok,1,1
suwon__60__crop_001,suwon,한빛약국,amenity=pharmacy,ok,1,1
suwon__60__crop_002,suwon,약,amenity=pharmacy,ok,1,1
suwon__61__crop_001,suwon,전주콩나루,amenity=restaurant,ok,1,1
suwon__61__crop_002,suwon,전주콩나루 콩나물국밥,amenity=restaurant,ok,1,1
suwon__62__crop_001,suwon,권약국,amenity=pharmacy,ok,1,1
suwon__62__crop_002,suwon,권약국,amenity=pharmacy,ok,1,1
suwon__63__crop_001,suwon,산 이 내 린 밥 상 곤드레밥집,amenity=restaurant,ok,1,1
suwon__64__crop_001,suwon,곤드레밥집,amenity=restaurant,ok,1,1
suwon__65__crop_001,suwon,대우 마이홈,office=estate_agent,ok,1,1
suwon__65__crop_002,suwon,콩미가 손두부,amenity=restaurant,ok,1,1
suwon__65__crop_003,suwon,VALE,unknown,name_only,1,0
suwon__66__crop_001,suwon,대우 마이홈,office=estate_agent,ok,1,1
suwon__66__crop_002,suwon,VALENTI,shop=clothes,ok,1,1
suwon__67__crop_001,suwon,어부돈가,amenity=restaurant,ok,1,1
suwon__68__crop_001,suwon,VALENTI,shop=clothes,ok,1,1
suwon__69__crop_001,suwon,신성 자동차 정비,shop=car_repair,ok,1,1
suwon__70__crop_001,suwon,신성공업사,shop=car_repair,ok,1,1
suwon__70__crop_002,suwon,신성,shop=car_repair,ok,1,1
suwon__71__crop_001,suwon,참숯구이,amenity=restaurant,ok,1,1
suwon__72__crop_001,suwon,골목집,amenity=restaurant,ok,1,1
suwon__73__crop_001,suwon,해장국 수육,amenity=restaurant,ok,1,1
suwon__73__crop_002,suwon,유치회관,amenity=restaurant,ok,1,1
suwon__74__crop_001,suwon,4900냥 순대국,amenity=restaurant,ok,1,1
suwon__75__crop_001,suwon,교육그룹 정진,amenity=school,ok,1,1
suwon__76__crop_001,suwon,24시 정통마사지,shop=beauty,ok,1,1
suwon__76__crop_002,suwon,럭셔리 노래팡팡,amenity=karaoke,ok,1,1
suwon__77__crop_001,suwon,스타일 MOTEL,tourism=hotel,ok,1,1
suwon__77__crop_002,suwon,스타일,tourism=hotel,ok,1,1
suwon__78__crop_001,suwon,모텔 스타일주차장,tourism=hotel,ok,1,1
suwon__79__crop_001,suwon,소원식당,amenity=restaurant,ok,1,1
suwon__7__crop_001,suwon,sharalla Brush,shop=clothes,ok,1,1
suwon__81__crop_001,suwon,시골집,amenity=restaurant,ok,1,1
suwon__82__crop_001,suwon,시골집,amenity=restaurant,ok,1,1
suwon__83__crop_001,suwon,시온성,amenity=restaurant,ok,1,1
suwon__83__crop_002,suwon,짱 PC방,amenity=internet_cafe,ok,1,1
suwon__84__crop_001,suwon,수입 엔틱 가구,shop=furniture,ok,1,1
suwon__85__crop_001,suwon,대게 킹크랩 랍스터,amenity=restaurant,ok,1,1
suwon__86__crop_001,suwon,수입 엔틱 가구,shop=furniture,ok,1,1
suwon__86__crop_002,suwon,VERONA,shop=furniture,ok,1,1
suwon__87__crop_001,suwon,HOTEL ILMARE,tourism=hotel,ok,1,1
suwon__89__crop_001,suwon,유료주차장,amenity=parking,ok,1,1
suwon__8__crop_001,suwon,경훈약국,amenity=pharmacy,ok,1,1
suwon__90__crop_001,suwon,Garma Hair,shop=hairdresser,ok,1,1
suwon__91__crop_001,suwon,부안 바지락촌,amenity=restaurant,ok,1,1
suwon__92__crop_001,suwon,신촌옥 설렁탕 해장국,amenity=restaurant,ok,1,1
suwon__93__crop_002,suwon,PREMIUM MULTI SHOP,shop=clothes,ok,1,1
suwon__94__crop_001,suwon,라미 웨딩쥬얼리,shop=beauty,ok,1,1
suwon__96__crop_001,suwon,르노삼성자동차 인계점,shop=car_repair,ok,1,1
suwon__97__crop_001,suwon,어구미,amenity=restaurant,ok,1,1
suwon__98__crop_001,suwon,어구미,amenity=restaurant,ok,1,1
suwon__99__crop_001,suwon,RESTAURANT,amenity=restaurant,ok,1,1
suwon__9__crop_001,suwon,ISaac,amenity=fast_food,ok,1,1
