image_name,region,gt_text,draft_name,draft_tag,matched_kw,confidence
suwon__100__crop_001,suwon,전주 콩나물국밥\n###,전주 콩나물국밥,amenity=restaurant,국밥,3
suwon__10__crop_001,suwon,7\nELEVEN,ELEVEN,shop=convenience,eleven,4
suwon__10__crop_002,suwon,Bur3wa,Bur3wa,,,1
suwon__10__crop_003,suwon,ZOO COFFEE\n###,ZOO COFFEE,amenity=cafe,coffee,3
suwon__11__crop_001,suwon,천사네일\n###,천사네일,shop=beauty,네일,3
suwon__12__crop_001,suwon,JS 미용재료\n###,JS 미용재료,,,1
suwon__13__crop_001,suwon,Chou\nCake House\n###,Cake House,,,2
suwon__13__crop_002,suwon,뼈나라 감자탕\n###,뼈나라 감자탕,amenity=restaurant,감자탕,3
suwon__14__crop_001,suwon,에이스 PC\n###,에이스 PC,,,1
suwon__15__crop_001,suwon,HAIR\nCARE\n커리어 헤어 디자인\n###,커리어 헤어 디자인,shop=hairdresser,헤어,4
suwon__16__crop_001,suwon,골드문주차장,골드문주차장,amenity=parking,주차,3
suwon__17__crop_001,suwon,야\n포장마차\n광\n###,포장마차,,,2
suwon__18__crop_001,suwon,삼정세탁\n###,삼정세탁,shop=laundry,세탁,3
suwon__19__crop_001,suwon,이지비아\n###,이지비아,,,1
suwon__1__crop_001,suwon,baskin\nBR\nrobbins,robbins,amenity=ice_cream,baskin,4
suwon__1__crop_002,suwon,SUNS\nBURGER\n눈꽃빙수\n###,BURGER,shop=florist,꽃,4
suwon__20__crop_001,suwon,권약국\n###,권약국,amenity=pharmacy,약국,3
suwon__20__crop_002,suwon,권약국\n###,권약국,amenity=pharmacy,약국,3
suwon__21__crop_001,suwon,태평갈매기\n###,태평갈매기,,,1
suwon__22__crop_001,suwon,천사강아지\n###,천사강아지,,,1
suwon__23__crop_001,suwon,백학다방\n###,백학다방,,,1
suwon__24__crop_001,suwon,이동통신\n예일음악사\n###,예일음악사,,,2
suwon__25__crop_001,suwon,로맨틱 커피숍\n###,로맨틱 커피숍,amenity=cafe,커피,3
suwon__25__crop_002,suwon,모범약국\n###,모범약국,amenity=pharmacy,약국,3
suwon__26__crop_001,suwon,조이모텔,조이모텔,tourism=hotel,모텔,3
suwon__27__crop_001,suwon,한일통닭\n호프\n###,한일통닭,amenity=fast_food,닭,4
suwon__28__crop_001,suwon,설미순대국\n###,설미순대국,amenity=restaurant,순대,3
suwon__29__crop_001,suwon,MALU HOTEL,MALU HOTEL,tourism=hotel,hotel,3
suwon__2__crop_002,suwon,T WORLD,T WORLD,,,1
suwon__2__crop_003,suwon,T WORLD,T WORLD,,,1
suwon__2__crop_004,suwon,LaLa COIN,LaLa COIN,,,1
suwon__30__crop_001,suwon,G\nMALU HOTEL\n###,MALU HOTEL,tourism=hotel,hotel,4
suwon__31__crop_001,suwon,최가네\n두부해물마을\n###,두부해물마을,,,2
suwon__32__crop_001,suwon,신바람돼지주물럭\n###,신바람돼지주물럭,,,1
suwon__33__crop_001,suwon,하우주 스즈키 수원대리점\n###,하우주 스즈키 수원대리점,,,1
suwon__34__crop_001,suwon,쪽갈비전문점\n예감\n###,쪽갈비전문점,amenity=restaurant,갈비,4
suwon__35__crop_001,suwon,용인\n전통\n순대국\n###,순대국,amenity=restaurant,순대,4
suwon__36__crop_001,suwon,대구반야월막창\n###,대구반야월막창,,,1
suwon__36__crop_002,suwon,지하철\n###,지하철,,,1
suwon__36__crop_003,suwon,색다른HAIR,색다른HAIR,shop=hairdresser,hair,3
suwon__37__crop_001,suwon,미가락\n###,미가락,,,1
suwon__37__crop_002,suwon,육회한 남자\n###,육회한 남자,,,1
suwon__39__crop_001,suwon,7형제 감자탕\n###,7형제 감자탕,amenity=restaurant,감자탕,3
suwon__3__crop_001,suwon,돼랑\n###,돼랑,,,1
suwon__40__crop_001,suwon,BAR\nBOBOS,BOBOS,amenity=bar,bar,4
suwon__40__crop_002,suwon,참한고기,참한고기,,,1
suwon__41__crop_001,suwon,한라돈\n###,한라돈,,,1
suwon__42__crop_001,suwon,BAR \BOBOS,BAR \BOBOS,amenity=bar,bar,3
suwon__42__crop_002,suwon,두리아족보쌈\n###,두리아족보쌈,amenity=restaurant,보쌈,3
suwon__42__crop_003,suwon,아리랑\n빈대떡\n###,아리랑,,,2
suwon__43__crop_001,suwon,통큰해물\n###,통큰해물,,,1
suwon__43__crop_002,suwon,미소갈비,미소갈비,amenity=restaurant,갈비,3
suwon__44__crop_001,suwon,세렌디피티\n###,세렌디피티,,,1
suwon__45__crop_001,suwon,여왕통골뱅이\n###,여왕통골뱅이,,,1
suwon__45__crop_002,suwon,부부식당\n###,부부식당,amenity=restaurant,식당,3
suwon__46__crop_001,suwon,김밥친구\n###,김밥친구,,,1
suwon__46__crop_002,suwon,Day Hair\n###,Day Hair,shop=hairdresser,hair,3
suwon__47__crop_001,suwon,불날개닭발\n###,불날개닭발,amenity=fast_food,닭,3
suwon__47__crop_002,suwon,굿모닝\n공인중개사 \n사무소\n###,공인중개사,office=estate_agent,공인중개,4
suwon__48__crop_001,suwon,황소고집\n한우곱창\n###,황소고집,amenity=restaurant,곱창,4
suwon__48__crop_002,suwon,불날개닭발\n###,불날개닭발,amenity=fast_food,닭,3
suwon__49__crop_001,suwon,세진상사\n전기\n철물\n건축자재\n###,세진상사,shop=hardware,철물,4
suwon__4__crop_001,suwon,동태탕\n왕해물찜\n###,왕해물찜,,,2
suwon__4__crop_002,suwon,밥\n해주는\n남자,해주는,,,2
suwon__50__crop_001,suwon,조순헤어샵\n###,조순헤어샵,shop=hairdresser,헤어,3
suwon__50__crop_002,suwon,G G Be\n지지비네일\n###,지지비네일,shop=beauty,네일,4
suwon__51__crop_001,suwon,비젼 \n공인중개사\n###,공인중개사,office=estate_agent,공인중개,4
suwon__52__crop_001,suwon,모나리자 \n미용실\n###,모나리자,shop=hairdresser,미용실,4
suwon__53__crop_001,suwon,SooChon\n###,SooChon,,,1
suwon__54__crop_001,suwon,북촌손만두\n###,북촌손만두,amenity=restaurant,만두,3
suwon__55__crop_001,suwon,불닭발\n엽기떡볶이\n###,엽기떡볶이,amenity=fast_food,닭,4
suwon__56__crop_001,suwon,삼아 주단 이불\n###,삼아 주단 이불,,,1
suwon__57__crop_001,suwon,약,,,,0
suwon__58__crop_001,suwon,BYC\n###,BYC,,,1
suwon__58__crop_002,suwon,한솥\n###,한솥,,,1
suwon__59__crop_001,suwon,전주콩나루\n콩나물국밥\n###,전주콩나루,amenity=restaurant,국밥,4
suwon__59__crop_002,suwon,황금의 집\n###,황금의 집,,,1
suwon__59__crop_003,suwon,남성컷\n###,남성컷,,,1
suwon__5__crop_001,suwon,진미치킨\n###,진미치킨,amenity=fast_food,치킨,3
suwon__5__crop_002,suwon,역전 진미 치킨\n###,역전 진미 치킨,amenity=fast_food,치킨,3
suwon__60__crop_001,suwon,한빛약국,한빛약국,amenity=pharmacy,약국,3
suwon__60__crop_002,suwon,약,,,,0
suwon__61__crop_001,suwon,전주콩나루 \n황금의집 \n콩나물국밥\n###,전주콩나루,amenity=restaurant,국밥,4
suwon__61__crop_002,suwon,전주콩나루 콩나물국밥\n###,전주콩나루 콩나물국밥,amenity=restaurant,국밥,3
suwon__62__crop_001,suwon,권약국,권약국,amenity=pharmacy,약국,3
suwon__62__crop_002,suwon,권약국,권약국,amenity=pharmacy,약국,3
suwon__63__crop_001,suwon,산 이 내 린 밥 상\n곤드레밥집\n###,산 이 내 린 밥 상,,,2
suwon__64__crop_001,suwon,곤드레밥집\n###,곤드레밥집,,,1
suwon__65__crop_001,suwon,대우\n마이홈\n###,마이홈,,,2
suwon__65__crop_002,suwon,콩미가 손두부\n###,콩미가 손두부,,,1
suwon__65__crop_003,suwon,VALE,VALE,,,1
suwon__66__crop_001,suwon,대우 마이홈\n###,대우 마이홈,,,1
suwon__66__crop_002,suwon,VALENTI\n###,VALENTI,,,1
suwon__67__crop_001,suwon,어부돈가\n###,어부돈가,,,1
suwon__68__crop_001,suwon,VALENTI\n###,VALENTI,,,1
suwon__69__crop_001,suwon,신성 자동차 정비\n###,신성 자동차 정비,shop=car_repair,자동차,3
suwon__70__crop_001,suwon,신성공업사\n###,신성공업사,,,1
suwon__70__crop_002,suwon,신성,신성,,,1
suwon__71__crop_001,suwon,참숯구이\n###,참숯구이,,,1
suwon__72__crop_001,suwon,골목집\n###,골목집,,,1
suwon__73__crop_001,suwon,원조\n해장국 수육\n###,해장국 수육,,,2
suwon__73__crop_002,suwon,유치회관\n###,유치회관,,,1
suwon__74__crop_001,suwon,4900냥\n순대국\n###,4900냥,amenity=restaurant,순대,4
suwon__75__crop_001,suwon,교육그룹 정진\n###,교육그룹 정진,,,1
suwon__76__crop_001,suwon,24시 정통마사지\n###,24시 정통마사지,,,1
suwon__76__crop_002,suwon,럭셔리\n노래팡팡\n지하,노래팡팡,,,2
suwon__77__crop_001,suwon,스타일\nMOTEL,MOTEL,tourism=hotel,motel,4
suwon__77__crop_002,suwon,스타일,스타일,,,1
suwon__78__crop_001,suwon,모텔 스타일주차장,모텔 스타일주차장,tourism=hotel,모텔,3
suwon__79__crop_001,suwon,소원식당\n기사식당\n###,소원식당,amenity=restaurant,식당,4
suwon__7__crop_001,suwon,sharalla\nBrush\n###,sharalla,,,2
suwon__81__crop_001,suwon,시골집\n###,시골집,,,1
suwon__82__crop_001,suwon,시골집\n###,시골집,,,1
suwon__83__crop_001,suwon,시온성\n###,시온성,,,1
suwon__83__crop_002,suwon,짱\nPC방,PC방,amenity=internet_cafe,pc방,4
suwon__84__crop_001,suwon,수임 엔틱 가구,수임 엔틱 가구,shop=furniture,가구,3
suwon__85__crop_001,suwon,대게 킹크랩 랍스터\n대 게 나 라 수원점\n###,대게 킹크랩 랍스터,,,2
suwon__86__crop_001,suwon,수입 엔틱 가구,수입 엔틱 가구,shop=furniture,가구,3
suwon__86__crop_002,suwon,VERONA\n###,VERONA,,,1
suwon__87__crop_001,suwon,HOTEL ILMARE,HOTEL ILMARE,tourism=hotel,hotel,3
suwon__89__crop_001,suwon,유료주차장\n###,유료주차장,amenity=parking,주차,3
suwon__8__crop_001,suwon,경훈약국,경훈약국,amenity=pharmacy,약국,3
suwon__90__crop_001,suwon,가르마\nGarma Hair\n###,Garma Hair,shop=hairdresser,hair,4
suwon__91__crop_001,suwon,부안 바지락촌\n###,부안 바지락촌,,,1
suwon__92__crop_001,suwon,본\n신촌옥 설렁탕 해장국\n점\n###,신촌옥 설렁탕 해장국,,,2
suwon__93__crop_002,suwon,PREMIUM MULTI SHOP\n###,PREMIUM MULTI SHOP,,,1
suwon__94__crop_001,suwon,라미 웨딩쥬얼리\n###,라미 웨딩쥬얼리,,,1
suwon__96__crop_001,suwon,르노삼성자동차 인계점\n###,르노삼성자동차 인계점,shop=car_repair,자동차,3
suwon__97__crop_001,suwon,어구미\n###,어구미,,,1
suwon__98__crop_001,suwon,어구미\n###,어구미,,,1
suwon__99__crop_001,suwon,RESTAURANT,RESTAURANT,amenity=restaurant,restaurant,3
suwon__9__crop_001,suwon,ISaac\n###,ISaac,,,1
